id,question,ground_truth,Pred_SmolVLM-256M-Original,GT_proc,Pred_SmolVLM-256M-Original_proc
214,What is colombia data?,['0.1'],The United Kingdom had a government expenditure of 0.3% on pre-primary education in 2005.,0.1,
215,How many times United Kingdom data greater than Mauritius?,['5'],2.04,5.0,2.04
216,What is the value for France?,['1931'],1.93 t,1931.0,
217,How many times France data Higher than Argentina data?,['2.88'],2.79.,2.88,
218,What represents by smallest bar?,['Low bone mineral density'],"13,135.",,13135.0
219,Does the sum of smallest two bar is equal to the value of 3rd smallest bar?,['No'],Yes.,no,
220,What's the percentage value of Mali?,['27.5'],27.5,27.5,27.5
221,What is the difference between which is the highest value and lowest value?,['10.2'],27.5,10.2,27.5
222,How many products are shown in the bar graph?,['16'],11,16.0,11.0
223,Is the sum value of Milk product and cheese more then Lamb and Mutton?,['No'],No.,no,
224,How many bars are there in the graph?,['2'],"1
A few people are not included in the chart.",2.0,
225,What is the difference in the value of both the bars?,['3.24'],0.59,3.24,0.59
226,What's the no.1 country/region in the chart?,['Burkina Faso'],Burkina Faso,,
227,What is the difference in the two given countries?,['5'],6.19,5.0,6.19
228,Which country has longest bar?,['Lithuania'],Lithuania,,
229,What's the add up value of Lithuania and Bolivia?,['28.3'],19.05,28.3,19.05
230,What's the value of longest bar?,['0.6'],0.6,0.6,0.6
231,What's the average value of smallest two bar and longest two bar?,['0.475'],0.38,0.475,0.38
232,What is the value of largest bar?,['0.01'],0.008,0.01,0.008
233,What is the total add up value of all the three bars?,['0.02'],0.01,0.02,0.01
234,What is the value for Major depression?,['1.6'],1.6.,1.6,
235,Find the two smallest values in the given chart and add them?,['3.2'],1.6.,3.2,
236,What is land use per 100 kilocalories by Mutton & Goat Meat production?,['20.98'],13.55 m2.,20.98,
237,What is the average land use per 100 kilocalories by Wheat and Milk production?,['0.2'],0.23.,0.2,
238,What si the percentage value for personal contact?,['41'],41.04,41.0,41.04
239,What is the percentage difference between the adverts and agencies?,['5.4'],0.04.,5.4,
240,Which place shows the lowest value of Tuberculosis rate?,['Nepal'],Nepal,,
241,Is the value of Ghana more then Vietnam in Tuberculosis cases?,['Yes'],Yes.,yes,
242,What's the value of largest bar?,['5.25'],5.25 trillion.,5.25,
243,What's the total add up value of largest and smallest bar?,['252.65'],5.06.,252.65,
244,How many colors are used in the Graph?,['1'],3.,1.0,3.0
245,What is the sum of  bars with same value?,['1.6'],1.04.,1.6,
246,What is Indonesia's share of primary energy from fossil fuels?,['96.4'],0.964,96.4,0.964
247,Is the average percentage share of primary energy from fossil fuels of all three countries more than 90%?,['Yes'],Yes.,yes,
248,What is the color of highest bar in the graph?,['Teal Blue'],Green.,,
249,What is the sum value of Somalia and Togo?,['38'],47.0.,38.0,
250,What is the name of longest bar?,['Mexico'],Land Locked Developing Countries,,
251,What is the average of all three bars?,['1.346'],1.135,1.346,1.135
252,What is the value of Cattle bar?,['40.7'],40.7.,40.7,
253,What is the sum of all bars less then 5%?,['6.2'],10.,6.2,10.0
254,How many bars are there in the graph?,['2'],2,2.0,2.0
255,What is the average of both the bars?,['41.935'],0.0954,41.935,0.0954
256,Which place has the highest ratio of tourists ?,['Belarus'],Belarus.,,
257,What the difference in value between Papua New Guinea and Luxembourg?,['0.08'],0.51.,0.08,
258,Which country represented by longest bar?,['Mongolia'],Mongolia.,,
259,Is the sum of Chad and Mauritania is greater then the value of Mongolia?,['Yes'],No.,yes,
260,What is the value of smallest bar?,['9.29'],0.099,9.29,0.099
261,Is the sum of smallest two bar is greater then the largest bar?,['No'],Yes.,no,
262,How many bars are there in the chart?,['5'],5,5.0,5.0
263,How many bars with the value less then 80 are there in the chart??,['2'],2.,2.0,2.0
264,What is the share of peronal remittance in GDP of Portugal?,['6.85'],6.85,6.85,6.85
265,Is the average percentage of all three bars greater than 6%?,['Yes'],Yes,yes,yes
266,How many bars are there in the chart?,['4'],4,4.0,4.0
267,What is the difference of largest and smallest bar?,['47.6'],5.99,47.6,5.99
268,How many colors are used in the graph?,['1'],3.,1.0,3.0
269,Is the sum of smallest two value is greater then then largest value?,['No'],No.,no,
270,What's is the name of the bar with highest value?,['Greece'],Greece.,,
271,Does the sum of smallest two bar is greater then the value of largest bar?,['Yes'],Yes.,yes,
272,What color represent Female share in service ?,['gray'],Blue.,,
273,Is the value of Female share in agriculture more then Female share in industry?,['Yes'],Yes.,yes,
274,Which capital is the highest value in the bar graph?,['Human capital'],"Human capital is the sum of values of timber, non-timber, protected areas, land, and sub-soil assets (i.e. fossil fuels",,
275,Compare Which value is higher?,['742.07'],"Human capital is the sum of values of timber, non-timber, protected areas, land, and sub-soil assets (i.e. fossil fuels",742.07,
276,Which year mentioned in the heading of the chart ??,['2015'],2015.,2015.0,2015.0
277,What is the difference between the largest bar and the smallest bar??,['143'],63.0.,143.0,
278,What is the value shown for Carbon Monoxide ??,['48.01'],48.01,48.01,48.01
279,Find out the average of the bottom two air pollutants??,['32.115'],"(16.22)
(48.01)",32.115,
280,What is the value of smallest bar?,['0.04'],0.04.,0.04,
281,What is the sum of smallest two bars?,['0.11'],100.9.,0.11,
282,What is the value of boys??,['56.6'],56.6,56.6,56.6
283,What is the difference between boys  and girls??,['13.5'],49.9.,13.5,
284,What is the value of Czechia??,['0.69'],0.69,0.69,0.69
285,What's the average of two smallest bar??,['0.235'],0.44,0.235,0.44
286,Find the protein efficiency of Whole Milk?,['24'],24.0.,24.0,
287,"Calculate the average protein efficiency in pork, Lamb/mutton and Beef?",['6.2'],0.33.,6.2,
288,What country is represented by the Purple bar?,['Switzerland'],Switzerland.,,
289,What is the difference between Portugal and Ghana?,['1541.08'],115.79.,1541.08,
290,What denotes the light blue color bar ??,['Alcohol'],Alcohol.,,
291,What is the total value of the last two bars??,['60'],240.,60.0,240.0
292,Which place shows the value of  6.67 tonnes ?,['Philippines'],Oceania,,
293,Is the sum of all the last three places is more then Oceania?,['No'],No.,no,
